"","Isolated labels","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","PCR comparison","Batch correction","Bio conservation","Total"
"X_pca","0.48094168","0.66266181","0.08197617","0.47247381","0.99845911","0.88389640","0.08906651","0.69073563","0.64676870","0.00000000","0.46209345","0.53930252","0.50841889"
"X_scVI","0.4711595","0.5643159","0.0380700","0.4520636","0.9965800","0.8953227","0.2174651","0.7655181","0.6268238","0.6749657","0.6360191","0.5044378","0.5570703"
"X_combat_pca","0.50050294","0.67143955","0.08207814","0.47645524","0.99864807","0.73291270","0.05784260","0.37845873","0.73478331","0.99987227","0.58077393","0.54582479","0.55980444"
"X_scpoli","0.45071750","0.63015204","0.06562913","0.44061210","0.99765099","0.83326380","0.14342354","0.66672821","0.58527028","0.00000000","0.44573717","0.51695235","0.48846628"
"X_FinVAE","0.48164314","0.64958878","0.07144313","0.46689878","0.99833480","0.87948260","0.08821895","0.66190806","0.70009858","0.21003288","0.50794822","0.53358173","0.52332832"
