"","Method","Batch correction","Bio conservation","Total"
"1","inVAE",0.95109059,0.60625416,0.744188732
"7","Combat (PCA)",0.849148161,0.373190921,0.563573817
"9","scVI",0.875815572,0.327911814,0.5470733172
"8","PCA",0.8086674245,0.371120825,0.5461394648
"2","scPoli",0.860688787,0.311300949,0.5310560842
"5","scMerge (PCA)",0.7508531585,0.349011195,0.5097479804
"3","scDisInFact",0.83183755,0.267634,0.49331542
"6","Harmony",0.776549151,0.286388656,0.482452854
"4","Scanorama",0.7388224,0.269615,0.45729796
"10","fastMNN",0.298988305,0.4143552,0.368208442
