"","Isolated labels","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","PCR comparison","Batch correction","Bio conservation","Total"
"X_FinVAE","0.53625244","0.51504395","0.45301123","0.55389970","0.97306347","0.94201010","0.08712042","0.10019505","0.96017108","0.00000000","0.41789933","0.60625416","0.53091223"
"X_scpoli","0.495753850","0.015802161","0.005385608","0.485553150","0.554009974","0.945788100","0.200722445","0.128817536","0.775589474","0.404465945","0.491076697","0.311300949","0.383211249"
"X_disinfact","4.987218e-01","4.876315e-06","3.814071e-04","4.996472e-01","3.394150e-01","9.959486e-01","3.530422e-01","9.458572e-01","6.677265e-01","9.992351e-01","7.923619e-01","2.676340e-01","4.775252e-01"
"X_scanorama","4.996068e-01","1.045815e-05","1.565575e-04","4.995763e-01","3.487248e-01","9.931281e-01","3.346795e-01","9.488366e-01","4.845167e-01","9.987318e-01","7.519786e-01","2.696150e-01","4.625604e-01"
"X_scmerge2_pca","0.488074400","0.023808414","0.007807836","0.495852044","0.729513288","0.933346570","0.174573217","0.236128088","0.568359747","0.281181567","0.438717838","0.349011195","0.384893852"
"X_harmony","0.477315000","0.023375941","0.007876348","0.488014122","0.435361862","0.910133600","0.260797024","0.383801528","0.642964702","0.379535905","0.515446552","0.286388656","0.378011815"
"X_combat_pca","0.491933900","0.021963881","0.007853393","0.499738760","0.844464660","0.962364900","0.079651163","0.069546110","0.735931422","0.999852051","0.569469132","0.373190921","0.451702205"
"X_pca","0.481345470","0.023654827","0.007745736","0.495589206","0.847268879","0.919231700","0.087565354","0.095559430","0.698103149","0.000000000","0.360091929","0.371120825","0.366709266"
"X_scVI","0.498507320","0.022629678","0.008283246","0.494924713","0.615214109","0.971454100","0.155820097","0.151578233","0.780177044","0.320404815","0.475886855","0.327911814","0.387101830"
"X_fastmnn","0.49913022","0.04672847","0.03545226","0.49046507","1.00000000","0.48316124","0.00000000","0.00000000","0.11481537","0.00000000","0.11959532","0.41435520","0.29645125"
